2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 880, 'frame.time_delta': 0.005983829498291016, 'frame.time_delta_displayed': 0.005983829498291016, 'frame.time_epoch': 1719296020.7914844, 'frame.time_relative': 24.738688707351685, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 884, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.8573084, 'frame.time_relative': 24.80451273918152, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 884, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.8573084, 'frame.time_relative': 24.80451273918152, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 961, 'frame.time_delta': 0.0009980201721191406, 'frame.time_delta_displayed': 0.0009980201721191406, 'frame.time_epoch': 1719296023.475661, 'frame.time_relative': 27.422865390777588, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 1, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 961, 'frame.time_delta': 0.0009980201721191406, 'frame.time_delta_displayed': 0.0009980201721191406, 'frame.time_epoch': 1719296023.475661, 'frame.time_relative': 27.422865390777588, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 1, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 965, 'frame.time_delta': 0.0009989738464355469, 'frame.time_delta_displayed': 0.0009989738464355469, 'frame.time_epoch': 1719296023.5594373, 'frame.time_relative': 27.506641626358032, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 965, 'frame.time_delta': 0.0009989738464355469, 'frame.time_delta_displayed': 0.0009989738464355469, 'frame.time_epoch': 1719296023.5594373, 'frame.time_relative': 27.506641626358032, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 968, 'frame.time_delta': 0.0009980201721191406, 'frame.time_delta_displayed': 0.0009980201721191406, 'frame.time_epoch': 1719296023.5983326, 'frame.time_relative': 27.545536994934082, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:43,674 - Deauth packet detected at timestamp: 27.621333599090576 - Packet Info: {'frame.len': 26, 'frame.number': 968, 'frame.time_delta': 0.0009980201721191406, 'frame.time_delta_displayed': 0.0009980201721191406, 'frame.time_epoch': 1719296023.5983326, 'frame.time_relative': 27.545536994934082, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 972, 'frame.time_delta': 0.02293872833251953, 'frame.time_delta_displayed': 0.02293872833251953, 'frame.time_epoch': 1719296023.7100334, 'frame.time_relative': 27.657237768173218, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
